leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1,MLPH,pam50,True,1981.6708354177088,100,0,0,0,1.0,0.0,0.0,0.0,19.32,12.0,1,143,21.534832525253297,42.622764587402344,100,0
2,FOXA1,brca_driver|pam50,True,1981.0505252626315,100,0,0,0,1.0,0.0,0.0,0.0,19.94,14.5,1,100,20.638474049568178,45.038082122802734,100,0
3,LOC145837,,False,1976.7283641820907,100,0,0,0,1.0,0.0,0.0,0.0,24.26,14.5,1,235,21.06213441848755,57.898345947265625,100,0
4,XBP1,,False,1974.8874437218612,100,0,0,0,1.0,0.0,0.0,0.0,26.1,17.0,2,152,18.747059359550477,38.3123779296875,100,0
5,ROPN1,,False,1962.8714357178587,100,0,0,0,1.0,0.0,0.0,0.0,38.11,22.5,1,206,18.06332747220993,44.350074768066406,100,0
6,SPDEF,,False,1961.330665332666,99,1,0,0,0.99,0.01,0.0,0.0,39.65,13.5,1,689,23.095683012008667,75.04552459716797,100,0
7,ERBB2,brca_driver|pam50,True,1959.639819909955,100,0,0,0,1.0,0.0,0.0,0.0,41.34,33.5,2,190,14.292834258079528,34.886783599853516,100,0
8,FOXC1,pam50,True,1954.5372686343171,100,0,0,0,1.0,0.0,0.0,0.0,46.44,39.5,5,153,13.007026019096374,24.956674575805664,100,0
9,CEP55,pam50,True,1946.0030015007508,100,0,0,0,1.0,0.0,0.0,0.0,54.97,52.0,8,200,11.613761787414552,25.453407287597656,100,0
10,STARD3,,False,1939.2396198099052,100,0,0,0,1.0,0.0,0.0,0.0,61.73,41.5,4,449,12.741176345348357,28.91899299621582,100,0
11,AURKA,,False,1937.5887943971984,100,0,0,0,1.0,0.0,0.0,0.0,63.38,52.0,10,282,11.571162843704224,24.042409896850586,100,0
12,TRIM29,,False,1937.4587293646825,100,0,0,0,1.0,0.0,0.0,0.0,63.51,46.0,10,336,11.70417865037918,23.60935401916504,100,0
13,C17orf37,,False,1937.4187093546775,99,1,0,0,0.99,0.01,0.0,0.0,63.55,42.5,6,907,13.259158003330231,27.843135833740234,100,0
14,EGFR,pam50,True,1934.3271635817907,100,0,0,0,1.0,0.0,0.0,0.0,66.64,48.5,7,437,12.02906928062439,27.50876808166504,100,0
15,SGOL1,,False,1931.4857428714358,99,1,0,0,0.99,0.01,0.0,0.0,69.48,40.0,1,724,14.154278290271758,60.98395919799805,100,0
16,CLCA2,,False,1929.3646823411705,100,0,0,0,1.0,0.0,0.0,0.0,71.6,38.5,2,482,13.452558126449585,41.085540771484375,100,0
17,CENPA,,False,1925.0125062531267,100,0,0,0,1.0,0.0,0.0,0.0,75.95,60.0,7,410,10.72900651216507,25.114580154418945,100,0
18,ZP2,,False,1924.6523261630814,99,1,0,0,0.99,0.01,0.0,0.0,76.31,44.0,4,573,12.022133066654206,28.269189834594727,100,0
19,PGAP3,,False,1924.132066033016,98,1,1,0,0.98,0.01,0.01,0.0,76.83,41.0,4,1014,12.41763099849224,29.748889923095703,100,0
20,G6PD,,False,1924.102051025513,98,2,0,0,0.98,0.02,0.0,0.0,76.86,35.5,4,669,13.206533405780792,32.31481170654297,100,0
