task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc,model_auprc,primary_metric
her2_status,auc_bytree03_bynode04_depth4,100,test_021,21,1523490479,804407190,2000,705,150,4,0.03,0.8,0.3,0.4,130.817,536,230,0.9608695652173913,0.8919567827130852,0.9172364159769701,0.9320228091236494,0.8975803878572365,0.9320228091236494
her2_status,auc_bytree03_bynode04_depth4,100,test_022,22,716905647,2141274728,2000,665,150,4,0.03,0.8,0.3,0.4,137.16,536,230,0.9521739130434783,0.8746998799519807,0.8988445084162968,0.9612845138055222,0.9044767673063018,0.9612845138055222
her2_status,auc_bytree03_bynode04_depth4,100,test_023,23,1829458735,1500288663,2000,657,150,4,0.03,0.8,0.3,0.4,143.492,536,230,0.9521739130434783,0.862545018007203,0.8960516044208883,0.9440276110444177,0.8791516932610823,0.9440276110444177
her2_status,auc_bytree03_bynode04_depth4,100,test_024,24,1968605051,404586617,2000,649,150,4,0.03,0.8,0.3,0.4,149.713,536,230,0.9478260869565217,0.8599939975990396,0.8881504295671907,0.9287214885954381,0.8742765216691537,0.9287214885954381
her2_status,auc_bytree03_bynode04_depth4,100,test_025,25,28117286,489477505,2000,719,150,4,0.03,0.8,0.3,0.4,156.003,536,230,0.9695652173913043,0.9335234093637454,0.938855341612548,0.9732893157262906,0.940527502783335,0.9732893157262906
her2_status,auc_bytree03_bynode04_depth4,100,test_026,26,485724700,626160836,2000,665,150,4,0.03,0.8,0.3,0.4,162.176,536,230,0.9434782608695652,0.8452881152460985,0.877151896133777,0.9116146458583433,0.8320363056326431,0.9116146458583433
her2_status,auc_bytree03_bynode04_depth4,100,test_027,27,1844326293,1873301085,2000,724,150,4,0.03,0.8,0.3,0.4,168.543,536,230,0.9782608695652174,0.9507803121248499,0.9563252440089629,0.9536314525810324,0.9491128393032188,0.9536314525810324
her2_status,auc_bytree03_bynode04_depth4,100,test_028,28,329461738,371313907,2000,679,150,4,0.03,0.8,0.3,0.4,174.794,536,230,0.9478260869565217,0.8356842737094838,0.8816263510036026,0.9465786314525809,0.8844628419752222,0.9465786314525809
her2_status,auc_bytree03_bynode04_depth4,100,test_029,29,993044722,1645096991,2000,629,150,4,0.03,0.8,0.3,0.4,180.881,536,230,0.9434782608695652,0.8452881152460985,0.877151896133777,0.9101140456182473,0.8073355889956371,0.9101140456182473
her2_status,auc_bytree03_bynode04_depth4,100,test_030,30,519978828,1659065578,2000,666,150,4,0.03,0.8,0.3,0.4,187.121,536,230,0.9565217391304348,0.8650960384153662,0.9041666666666667,0.9126650660264105,0.8505209255462028,0.9126650660264105
her2_status,auc_bytree03_bynode04_depth4,100,test_031,31,1519235732,667721993,2000,654,150,4,0.03,0.8,0.3,0.4,193.364,536,230,0.9478260869565217,0.8478391356542617,0.885,0.9230192076830731,0.8490614860206258,0.9230192076830731
her2_status,auc_bytree03_bynode04_depth4,100,test_032,32,250522275,687461843,2000,672,150,4,0.03,0.8,0.3,0.4,199.532,536,230,0.9652173913043478,0.8823529411764706,0.9233333333333333,0.9401260504201681,0.8948339413801939,0.9401260504201681
her2_status,auc_bytree03_bynode04_depth4,100,test_033,33,1722731910,731186505,2000,687,150,4,0.03,0.8,0.3,0.4,205.788,536,230,0.9739130434782609,0.9603841536614646,0.9494505494505494,0.9632352941176471,0.9196529898506114,0.9632352941176471
her2_status,auc_bytree03_bynode04_depth4,100,test_034,34,729525542,297866349,2000,707,150,4,0.03,0.8,0.3,0.4,212.064,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.9569327731092436,0.9353018925374407,0.9569327731092436
her2_status,auc_bytree03_bynode04_depth4,100,test_035,35,106647307,549037192,2000,665,150,4,0.03,0.8,0.3,0.4,218.21,536,230,0.9652173913043478,0.9188175270108043,0.92924165512998,0.960984393757503,0.8828646774174077,0.960984393757503
her2_status,auc_bytree03_bynode04_depth4,100,test_036,36,619098532,799624793,2000,676,150,4,0.03,0.8,0.3,0.4,224.354,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9173169267707083,0.8405779149288396,0.9173169267707083
her2_status,auc_bytree03_bynode04_depth4,100,test_037,37,941626554,779567117,2000,678,150,4,0.03,0.8,0.3,0.4,230.642,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9684873949579832,0.9177930629271841,0.9684873949579832
her2_status,auc_bytree03_bynode04_depth4,100,test_038,38,1439467998,744238921,2000,686,150,4,0.03,0.8,0.3,0.4,236.819,536,230,0.9826086956521739,0.9411764705882353,0.963699494949495,0.9816926770708284,0.9518195993130796,0.9816926770708284
her2_status,auc_bytree03_bynode04_depth4,100,test_039,39,635875880,1555332729,2000,680,150,4,0.03,0.8,0.3,0.4,243.122,536,230,0.9608695652173913,0.8798019207683073,0.9149513127079995,0.9423769507803121,0.8869067495672249,0.9423769507803121
her2_status,auc_bytree03_bynode04_depth4,100,test_040,40,1027783628,683863300,2000,728,150,4,0.03,0.8,0.3,0.4,249.423,536,230,0.9695652173913043,0.9335234093637454,0.938855341612548,0.9656362545018007,0.9519807007909105,0.9656362545018007
her2_status,auc_bytree03_bynode04_depth4,100,test_041,41,86887079,1276314028,2000,659,150,4,0.03,0.8,0.3,0.4,255.611,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.9576830732292917,0.902268765895719,0.9576830732292917
her2_status,auc_bytree03_bynode04_depth4,100,test_042,42,624325806,501686039,2000,693,150,4,0.03,0.8,0.3,0.4,261.935,536,230,0.9608695652173913,0.9041116446578632,0.9193768257059396,0.9429771908763505,0.9084891340054765,0.9429771908763505
her2_status,auc_bytree03_bynode04_depth4,100,test_043,43,1990983941,602980271,2000,653,150,4,0.03,0.8,0.3,0.4,268.167,536,230,0.9478260869565217,0.8356842737094838,0.8816263510036026,0.9072629051620649,0.8351404170139153,0.9072629051620649
her2_status,auc_bytree03_bynode04_depth4,100,test_044,44,699000368,63554050,2000,656,150,4,0.03,0.8,0.3,0.4,274.331,536,230,0.9608695652173913,0.8919567827130852,0.9172364159769701,0.93562424969988,0.8458818256873188,0.93562424969988
her2_status,auc_bytree03_bynode04_depth4,100,test_045,45,1551918464,1767626666,2000,692,150,4,0.03,0.8,0.3,0.4,280.573,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9440276110444178,0.9024744871505069,0.9440276110444178
her2_status,auc_bytree03_bynode04_depth4,100,test_046,46,512167663,1901917381,2000,657,150,4,0.03,0.8,0.3,0.4,286.719,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9348739495798319,0.8164988573230147,0.9348739495798319
her2_status,auc_bytree03_bynode04_depth4,100,test_047,47,962197772,634391787,2000,696,150,4,0.03,0.8,0.3,0.4,292.942,536,230,0.9695652173913043,0.9335234093637454,0.938855341612548,0.994297719087635,0.9651093498360441,0.994297719087635
her2_status,auc_bytree03_bynode04_depth4,100,test_048,48,626095917,1462791391,2000,673,150,4,0.03,0.8,0.3,0.4,299.183,536,230,0.9565217391304348,0.889405762304922,0.9092487373737373,0.9273709483793517,0.8587163456468011,0.9273709483793517
her2_status,auc_bytree03_bynode04_depth4,100,test_049,49,528857501,529387695,2000,636,150,4,0.03,0.8,0.3,0.4,305.371,536,230,0.9521739130434783,0.862545018007203,0.8960516044208883,0.9351740696278512,0.8743284704452932,0.9351740696278512
her2_status,auc_bytree03_bynode04_depth4,100,test_050,50,319319263,802369510,2000,725,150,4,0.03,0.8,0.3,0.4,311.668,536,230,0.9695652173913043,0.9213685474189676,0.9372930866601753,0.9698379351740697,0.9490496768394693,0.9698379351740697
her2_status,auc_bytree03_bynode04_depth4,100,test_051,51,1736569688,556977090,2000,683,150,4,0.03,0.8,0.3,0.4,317.892,536,230,0.9565217391304348,0.889405762304922,0.9092487373737373,0.9651860744297719,0.9163199837585518,0.9651860744297719
her2_status,auc_bytree03_bynode04_depth4,100,test_052,52,357729123,990552368,2000,712,150,4,0.03,0.8,0.3,0.4,324.26,536,230,0.9652173913043478,0.8945078031212486,0.9254336197114605,0.9564825930372148,0.921011125690829,0.9564825930372148
her2_status,auc_bytree03_bynode04_depth4,100,test_053,53,2135077049,13434703,2000,698,150,4,0.03,0.8,0.3,0.4,330.508,536,230,0.9565217391304348,0.8650960384153662,0.9041666666666667,0.9626350540216086,0.8898657098445124,0.9626350540216086
her2_status,auc_bytree03_bynode04_depth4,100,test_054,54,800553852,165601732,2000,690,150,4,0.03,0.8,0.3,0.4,336.712,536,230,0.9695652173913043,0.8970588235294117,0.9338510209951107,0.9543817527010803,0.9404106189446411,0.9543817527010803
her2_status,auc_bytree03_bynode04_depth4,100,test_055,55,1102830664,1140613676,2000,688,150,4,0.03,0.8,0.3,0.4,343.077,536,230,0.9565217391304348,0.8772509003601441,0.9067920246393257,0.9620348139255702,0.9096195800028377,0.9620348139255702
her2_status,auc_bytree03_bynode04_depth4,100,test_056,56,288852483,270367092,2000,671,150,4,0.03,0.8,0.3,0.4,349.291,536,230,0.9652173913043478,0.9188175270108043,0.92924165512998,0.9768907563025211,0.90882684634252,0.9768907563025211
her2_status,auc_bytree03_bynode04_depth4,100,test_057,57,840436267,741104987,2000,652,150,4,0.03,0.8,0.3,0.4,355.528,536,230,0.9652173913043478,0.8945078031212486,0.9254336197114605,0.9672869147659064,0.9167400391760816,0.9672869147659064
her2_status,auc_bytree03_bynode04_depth4,100,test_058,58,1901836743,1959201967,2000,693,150,4,0.03,0.8,0.3,0.4,361.802,536,230,0.9608695652173913,0.916266506602641,0.921385439216133,0.9554321728691477,0.9265387417960946,0.9554321728691477
her2_status,auc_bytree03_bynode04_depth4,100,test_059,59,1644209429,855318734,2000,673,150,4,0.03,0.8,0.3,0.4,368.084,536,230,0.9652173913043478,0.9066626650660263,0.9273989898989898,0.9561824729891957,0.9301315465271812,0.9561824729891957
