leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
18,UPP2,,False,1780.280140070035,99,0,0,1,0.99,0.0,0.0,0.01,220.61,204.0,45,2000,9.527469115257263,24.370012283325195,99,1
19,TMEM101,,False,1747.943971985993,91,3,0,6,0.91,0.03,0.0,0.06,252.93,105.0,17,2000,14.88265216231346,35.760623931884766,94,6
20,ZNF862,,False,1746.5332666333168,93,2,0,5,0.93,0.02,0.0,0.05,254.34,144.5,11,2000,13.13394850373268,44.71366882324219,95,5
21,C17orf75,,False,1735.8279139569788,90,2,0,8,0.9,0.02,0.0,0.08,265.04,77.5,6,2000,18.204319448471068,63.309539794921875,92,8
22,NEUROD2,,False,1715.717858929465,91,3,0,6,0.91,0.03,0.0,0.06,285.14,194.5,2,2000,13.877096183300019,89.12335205078125,94,6
23,SCARB2,,False,1701.930965482741,97,1,0,2,0.97,0.01,0.0,0.02,298.92,269.0,48,2000,7.357299098968506,20.853403091430664,98,2
24,CPT1A,,False,1689.054527263632,90,3,0,7,0.9,0.03,0.0,0.07,311.79,166.5,16,2000,10.95571950316429,38.198829650878906,93,7
25,RPS6KB1,,False,1669.224612306153,88,0,0,12,0.88,0.0,0.0,0.12,331.61,74.5,1,2000,19.92177981853485,120.17389678955078,88,12
26,DAXX,,False,1660.040020010005,90,1,0,9,0.9,0.01,0.0,0.09,340.79,176.0,19,2000,10.810050106048584,34.92216873168945,91,9
27,PNMT,,False,1650.745372686343,81,9,0,10,0.81,0.09,0.0,0.1,350.08,101.5,1,2000,22.979549713134766,150.93360900878906,90,10
28,CWC25,,False,1649.904952476238,86,5,0,9,0.86,0.05,0.0,0.09,350.92,153.5,1,2000,15.457386199235916,82.35134887695312,91,9
29,LDLR,,False,1639.83991995998,86,6,0,8,0.86,0.06,0.0,0.08,360.98,184.0,13,2000,10.420405452251435,41.511497497558594,92,8
30,WIPF2,,False,1629.4947473736868,81,7,0,12,0.81,0.07,0.0,0.12,371.32,97.5,2,2000,21.718422148227692,141.94284057617188,88,12
31,ST3GAL3,,False,1627.8439219609804,88,5,0,7,0.88,0.05,0.0,0.07,372.97,252.5,19,2000,8.599421384334564,34.40333938598633,93,7
32,RPS6KB2,,False,1599.5497748874436,89,2,0,9,0.89,0.02,0.0,0.09,401.25,251.0,40,2000,7.992157352566719,26.844675064086914,91,9
33,TMEM99,,False,1588.3441720860428,86,1,0,13,0.86,0.01,0.0,0.13,412.45,163.5,8,2000,12.4516402053833,49.12968444824219,87,13
34,RGMB,,False,1572.516258129065,87,5,0,8,0.87,0.05,0.0,0.08,428.27,304.0,68,2000,6.410605417490006,18.679723739624023,92,8
35,HMGCL,,False,1563.4117058529262,85,8,0,7,0.85,0.08,0.0,0.07,437.37,330.0,25,2000,6.142430761158466,29.540786743164062,93,7
36,C17orf39,,False,1560.8304152076043,74,13,0,13,0.74,0.13,0.0,0.13,439.95,194.0,1,2000,18.371846860051154,151.18321228027344,87,13
37,IDI1,,False,1557.2786393196598,81,5,0,14,0.81,0.05,0.0,0.14,443.5,195.5,3,2000,12.583558922559023,80.10916137695312,86,14
38,CATSPERB,,False,1542.921460730365,78,16,0,6,0.78,0.16,0.0,0.06,457.85,374.5,2,2000,6.516101834774017,78.0255355834961,94,6
39,EPN3,,False,1540.3301650825413,77,7,0,16,0.77,0.07,0.0,0.16,460.44,156.5,2,2000,15.347557250261307,84.1206283569336,84,16
40,LOC90110,,False,1536.4482241120566,72,14,0,14,0.72,0.14,0.0,0.14,464.32,197.0,1,2000,18.558517457842825,176.28370666503906,86,14
41,PLEKHA8,,False,1526.2131065532767,80,2,0,18,0.8,0.02,0.0,0.18,474.55,133.0,16,2000,12.931396473646164,34.42408752441406,82,18
42,HMGCS1,,False,1521.3606803401701,76,11,0,13,0.76,0.11,0.0,0.13,479.4,248.0,9,2000,9.919485356211663,55.32358169555664,87,13
43,ETFA,,False,1514.277138569285,80,7,0,13,0.8,0.07,0.0,0.13,486.48,299.5,8,2000,8.943152381181717,53.73502731323242,87,13
44,IL28RA,,False,1494.027013506753,83,6,0,11,0.83,0.06,0.0,0.11,506.72,347.0,50,2000,5.488481355905533,21.524385452270508,89,11
45,CISD3,,False,1471.7658829414709,77,9,0,14,0.77,0.09,0.0,0.14,528.97,308.5,19,2000,6.71788364470005,34.01055145263672,86,14
46,PPP1R10,,False,1464.662331165583,66,20,0,14,0.66,0.2,0.0,0.14,536.07,352.5,1,2000,14.165159234404564,164.04957580566406,86,14
47,FNTA,,False,1463.421710855428,72,10,0,18,0.72,0.1,0.0,0.18,537.31,196.5,19,2000,10.286309061050416,38.96766662597656,82,18
48,HEATR6,,False,1457.9389694847425,76,3,0,21,0.76,0.03,0.0,0.21,542.79,158.5,11,2000,12.578912494182587,43.092437744140625,79,21
49,PGBD5,,False,1442.5212606303153,77,11,0,12,0.77,0.11,0.0,0.12,558.2,383.0,98,2000,4.310226529836655,15.356197357177734,88,12
50,HGSNAT,,False,1436.3781890945468,76,8,0,16,0.76,0.08,0.0,0.16,564.34,324.5,18,2000,6.300468109846115,33.05392837524414,84,16
51,TMEM38A,,False,1434.9474737368682,76,3,0,21,0.76,0.03,0.0,0.21,565.77,190.0,14,2000,10.11111658334732,35.93667984008789,79,21
52,KATNAL2,,False,1427.143571785893,73,9,0,18,0.73,0.09,0.0,0.18,573.57,322.0,4,2000,8.880736677646636,72.40850830078125,82,18
53,MRPL45,,False,1414.6273136568282,72,7,0,21,0.72,0.07,0.0,0.21,586.08,243.0,1,2000,13.576413904428483,86.15057373046875,79,21
54,GIGYF1,,False,1405.2726363181587,72,8,0,20,0.72,0.08,0.0,0.2,595.43,263.0,28,2000,7.761849284768105,26.801128387451172,80,20
55,KIAA0513,,False,1403.3316658329163,75,5,0,20,0.75,0.05,0.0,0.2,597.37,252.5,20,2000,7.118907458782196,33.906211853027344,80,20
56,DNAJC15,,False,1397.2786393196598,73,9,0,18,0.73,0.09,0.0,0.18,603.42,320.0,55,2000,5.862581049203873,24.021697998046875,82,18
57,NUDT6,,False,1386.743371685843,73,9,0,18,0.73,0.09,0.0,0.18,613.95,378.5,7,2000,6.687268084287643,59.48098373413086,82,18
58,PAX7,,False,1382.2811405702853,71,5,0,24,0.71,0.05,0.0,0.24,618.41,197.5,16,2000,9.91885518193245,37.557952880859375,76,24
59,KAZ,,False,1375.5877938969484,72,2,0,26,0.72,0.02,0.0,0.26,625.1,129.5,12,2000,11.331980137825012,38.49984359741211,74,26
60,ARMC5,,False,1375.1175587793894,73,11,0,16,0.73,0.11,0.0,0.16,625.57,398.0,10,2000,4.391111001968384,45.85723876953125,84,16
61,IL1RAPL2,,False,1373.3566783391698,72,4,0,24,0.72,0.04,0.0,0.24,627.33,202.5,33,2000,9.126273349523544,27.993255615234375,76,24
62,TMEM49,,False,1369.6548274137067,70,7,0,23,0.7,0.07,0.0,0.23,631.03,268.5,11,2000,9.776304558515548,43.4455680847168,77,23
63,UCP2,,False,1363.8019009504753,71,7,0,22,0.71,0.07,0.0,0.22,636.88,296.0,19,2000,7.668822685480118,34.214744567871094,78,22
64,CYB5D2,,False,1363.701850925463,69,14,0,17,0.69,0.14,0.0,0.17,636.98,405.0,31,2000,4.518803381919861,22.93735122680664,83,17
65,PRKCE,,False,1363.4317158579288,71,7,0,22,0.71,0.07,0.0,0.22,637.25,284.5,14,2000,7.527215646505356,44.6757698059082,78,22
66,LRFN2,,False,1355.6778389194596,68,8,0,24,0.68,0.08,0.0,0.24,645.0,247.0,5,2000,10.351430745124818,69.61014556884766,76,24
67,SYN1,,False,1349.6448224112057,69,12,0,19,0.69,0.12,0.0,0.19,651.03,386.5,26,2000,5.152671507000923,30.02301025390625,81,19
68,XPNPEP3,,False,1349.4347173586793,67,8,0,25,0.67,0.08,0.0,0.25,651.24,216.0,5,2000,11.448946842551232,59.74476623535156,75,25
69,RND1,,False,1346.6633316658329,70,7,0,23,0.7,0.07,0.0,0.23,654.01,323.0,23,2000,7.5654072606563565,31.34134864807129,77,23
70,HIVEP2,,False,1345.2926463231615,69,14,0,17,0.69,0.14,0.0,0.17,655.38,412.5,52,2000,3.8735897934436796,19.707733154296875,83,17
