leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1698,PM20D2,,False,229.4947473736869,8,7,0,85,0.08,0.07,0.0,0.85,1770.62,2000.0,293,2000,0.11940928220748902,1.558680534362793,15,85
1699,TUSC2,,False,229.30465232616308,11,3,0,86,0.11,0.03,0.0,0.86,1770.81,2000.0,48,2000,0.21482727885246278,5.0790324211120605,14,86
1700,C6orf15,,False,228.9544772386193,11,3,0,86,0.11,0.03,0.0,0.86,1771.16,2000.0,86,2000,0.18446803569793702,3.2488274574279785,14,86
1701,ANKRD30A,,False,228.80440220110052,13,0,0,87,0.13,0.0,0.0,0.87,1771.31,2000.0,67,2000,0.2713595795631409,3.6535909175872803,13,87
1702,NOSTRIN,,False,228.76438219109556,9,5,0,86,0.09,0.05,0.0,0.86,1771.35,2000.0,47,2000,0.2067695128917694,4.65544319152832,14,86
1703,PRKAB1,,False,227.49374687343672,10,4,0,86,0.1,0.04,0.0,0.86,1772.62,2000.0,40,2000,0.22553699374198913,5.265658378601074,14,86
1704,SUGT1L1,,False,227.39369684842418,10,4,0,86,0.1,0.04,0.0,0.86,1772.72,2000.0,97,2000,0.1853611308336258,2.9102814197540283,14,86
1705,ART3,,False,227.00350175087544,10,4,0,86,0.1,0.04,0.0,0.86,1773.11,2000.0,128,2000,0.18184834361076355,2.872905731201172,14,86
1706,ERGIC1,,False,226.91345672836417,8,6,0,86,0.08,0.06,0.0,0.86,1773.2,2000.0,56,2000,0.2008852219581604,4.382072448730469,14,86
1707,SSRP1,,False,226.15307653826912,9,5,0,86,0.09,0.05,0.0,0.86,1773.96,2000.0,70,2000,0.1957378751039505,3.641550064086914,14,86
1708,C1orf59,,False,225.87293646823414,10,4,0,86,0.1,0.04,0.0,0.86,1774.24,2000.0,115,2000,0.17578594475984574,2.8507299423217773,14,86
1709,ASS1,,False,225.85292646323163,8,7,0,85,0.08,0.07,0.0,0.85,1774.26,2000.0,256,2000,0.10413545072078705,1.5398783683776855,15,85
1710,TUBA1C,,False,225.72286143071534,9,5,0,86,0.09,0.05,0.0,0.86,1774.39,2000.0,78,2000,0.17419682919979096,3.504403591156006,14,86
1711,FAM81B,,False,225.36268134067035,10,4,0,86,0.1,0.04,0.0,0.86,1774.75,2000.0,81,2000,0.16674138844013214,3.6498944759368896,14,86
1712,C4orf34,,False,224.91245622811405,10,4,0,86,0.1,0.04,0.0,0.86,1775.2,2000.0,123,2000,0.1695983874797821,2.675457000732422,14,86
1713,CDHR4,,False,224.67233616808403,10,4,0,86,0.1,0.04,0.0,0.86,1775.44,2000.0,209,2000,0.15959542453289033,2.0347511768341064,14,86
1714,SLC22A16,,False,224.06203101550776,11,3,0,86,0.11,0.03,0.0,0.86,1776.05,2000.0,101,2000,0.17038332879543305,3.0389938354492188,14,86
1715,PLA2G12A,,False,223.5817908954477,9,5,0,86,0.09,0.05,0.0,0.86,1776.53,2000.0,103,2000,0.1663516902923584,3.251861572265625,14,86
1716,MTHFD2,,False,223.06153076538274,8,6,0,86,0.08,0.06,0.0,0.86,1777.05,2000.0,76,2000,0.17087603390216827,3.5279226303100586,14,86
1717,C6orf150,,False,222.19109554777387,8,6,0,86,0.08,0.06,0.0,0.86,1777.92,2000.0,89,2000,0.17834147036075593,3.8389103412628174,14,86
1718,RNF141,,False,222.12106053026514,10,4,0,86,0.1,0.04,0.0,0.86,1777.99,2000.0,107,2000,0.15645918846130372,2.89394474029541,14,86
1719,TRAK1,,False,221.63081540770384,9,5,0,86,0.09,0.05,0.0,0.86,1778.48,2000.0,149,2000,0.14879776895046234,2.5417308807373047,14,86
1720,IVD,,False,221.43071535767885,11,1,0,88,0.11,0.01,0.0,0.88,1778.68,2000.0,15,2000,0.8767906200885772,24.57318115234375,12,88
1721,RPIA,,False,221.39069534767387,9,5,0,86,0.09,0.05,0.0,0.86,1778.72,2000.0,123,2000,0.15429615318775178,2.976552724838257,14,86
