leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1,SPRY2,,False,1989.024512256128,100,0,0,0,1.0,0.0,0.0,0.0,11.97,11.0,2,29,22.185647225379945,45.17405319213867,100,0
2,TMEM220,,False,1988.6643321660833,100,0,0,0,1.0,0.0,0.0,0.0,12.33,12.0,1,32,23.119362177848817,57.424259185791016,100,0
3,MME,,False,1988.414207103552,100,0,0,0,1.0,0.0,0.0,0.0,12.58,12.0,1,31,22.593611183166505,80.62069702148438,100,0
4,MAMDC2,,False,1987.9239619809907,100,0,0,0,1.0,0.0,0.0,0.0,13.07,12.0,1,47,22.331431460380553,60.385162353515625,100,0
5,ADAMTS5,,False,1987.4337168584293,100,0,0,0,1.0,0.0,0.0,0.0,13.56,12.0,1,83,22.40603045463562,55.59506607055664,100,0
6,FIGF,,False,1984.72236118059,100,0,0,0,1.0,0.0,0.0,0.0,16.27,15.0,2,60,18.12375425338745,48.06949996948242,100,0
7,SDPR,,False,1984.6923461730862,100,0,0,0,1.0,0.0,0.0,0.0,16.3,16.0,1,37,18.019681811332703,59.288726806640625,100,0
8,MMP11,pam50,True,1983.92196098049,100,0,0,0,1.0,0.0,0.0,0.0,17.07,17.0,5,38,15.769792783260346,34.352447509765625,100,0
9,COL10A1,,False,1981.0705352676339,100,0,0,0,1.0,0.0,0.0,0.0,19.92,20.0,2,35,12.452725613117218,41.081092834472656,100,0
10,MATN2,,False,1969.3546773386695,99,0,0,1,0.99,0.0,0.0,0.01,31.63,10.0,1,2000,24.448948559761046,69.03262329101562,99,1
11,CD300LG,,False,1965.0625312656327,99,0,0,1,0.99,0.0,0.0,0.01,35.92,15.5,2,2000,16.92679045200348,54.09782028198242,99,1
12,TSLP,,False,1951.1555777888948,98,0,0,2,0.98,0.0,0.0,0.02,49.82,9.0,1,2000,27.01596931576729,79.09585571289062,98,2
13,HSD17B6,,False,1937.1085542771386,99,0,0,1,0.99,0.0,0.0,0.01,63.86,43.0,19,2000,2.6196390372514724,11.791962623596191,99,1
14,CA4,,False,1915.987993996998,97,0,0,3,0.97,0.0,0.0,0.03,84.97,25.0,2,2000,8.282347435951232,65.6238021850586,97,3
15,ITIH5,,False,1894.3771885942974,96,0,0,4,0.96,0.0,0.0,0.04,106.57,27.0,3,2000,8.917951506972313,50.398338317871094,96,4
