gene,prior_gene_set,is_prior_gene,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034,test_035,test_036,test_037,test_038,test_039,test_040,test_041,test_042,test_043,test_044,test_045,test_046,test_047,test_048,test_049,test_050,test_051,test_052,test_053,test_054,test_055,test_056,test_057,test_058,test_059,test_060,test_061,test_062,test_063,test_064,test_065,test_066,test_067,test_068,test_069,test_070,test_071,test_072,test_073,test_074,test_075,test_076,test_077,test_078,test_079,test_080,test_081,test_082,test_083,test_084,test_085,test_086,test_087,test_088,test_089,test_090,test_091,test_092,test_093,test_094,test_095,test_096,test_097,test_098,test_099,test_100
CORO2B,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,88,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,111,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,2000
MATN2,,False,8,10,8,4,7,20,37,5,16,4,13,2,22,1,7,12,5,7,10,7,6,13,19,28,1,14,9,17,3,12,18,20,6,5,25,7,2000,4,9,5,6,4,14,20,8,8,12,12,19,20,3,4,27,10,25,24,7,16,3,11,17,14,4,8,9,5,6,17,2,11,13,1,8,4,13,23,21,3,9,40,16,10,11,15,12,24,9,18,14,14,5,12,9,3,18,8,20,21,13,4
HOXA7,,False,2000,36,2000,2000,12,2000,45,36,2000,23,59,2000,1,2000,25,2000,30,2000,2000,2000,2000,2000,2000,23,2000,2000,2000,2000,30,47,2000,2000,36,29,2000,3,48,2000,2000,39,2000,2000,2000,2000,19,2000,28,2000,2000,2000,2000,2000,81,2000,2000,8,31,2000,2000,19,2000,2000,22,38,34,2000,31,2000,33,2000,2000,42,15,2000,25,2000,28,2000,2000,2000,25,2000,5,94,16,2000,60,19,2000,2000,2000,2000,2000,2000,2000,2000,13,2000,45,28
PAMR1,,False,21,60,7,6,22,4,4,2000,29,35,20,2000,4,2000,6,1,56,8,19,2000,2000,2000,23,8,22,3,2000,2000,11,19,11,27,17,2000,19,28,6,6,8,6,45,23,2000,16,13,4,5,2000,7,2000,16,14,40,2000,21,12,96,3,7,29,2000,64,30,34,20,88,3,80,8,6,21,23,19,2000,22,2000,7,5,21,2000,14,9,34,28,19,6,45,2000,26,8,6,61,2000,19,2000,2,21,7,19,27
HOXA5,,False,2000,2000,2000,2000,82,2000,2000,2000,2000,33,12,2000,6,2000,2000,27,2000,2000,2000,2000,2000,2000,2000,25,2000,2000,2000,2000,2000,2000,2000,25,2000,2000,41,2000,2000,25,2000,1,13,2000,2000,2000,2000,21,2000,2000,2000,2000,51,2000,34,17,5,2000,2000,29,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,16,32,1,15,2000,31,2000,55,2000,2000,2000,29,2000,2000,7,61,2000,2000,2000,12,2000,2000,4,2000,2000,24,2000,68,2000
SDPR,,False,19,30,11,15,17,12,13,21,18,8,16,9,23,22,17,5,16,11,3,8,8,30,36,12,7,20,8,6,9,14,20,13,2,10,37,17,17,21,21,12,29,9,9,26,26,25,11,10,14,11,37,27,13,14,16,5,29,20,18,20,16,12,31,5,19,15,23,29,14,7,18,28,18,19,28,15,8,19,19,12,19,8,10,19,24,17,4,5,3,36,11,7,18,36,8,5,27,12,22,1
GIPC2,,False,2000,1,2000,34,72,2000,18,2000,2000,2000,2000,2000,2000,14,16,2000,2000,2000,2000,9,2000,2000,2000,2000,19,2000,2000,2000,2000,11,2000,55,2000,2000,18,2000,2000,82,2000,2000,26,3,2000,2000,33,39,2000,2000,5,7,48,2000,2000,2000,2000,2000,2000,2000,2000,33,10,50,2000,23,2000,2000,2000,10,2000,2000,2000,24,2000,36,2,25,3,2000,6,4,2000,1,2000,2000,2000,2000,2000,2000,24,24,27,2000,2000,50,2000,2000,2000,32,2000,2000
PPP1R12B,,False,12,29,20,14,71,16,27,15,48,15,45,30,25,20,13,3,48,9,17,23,41,42,26,77,2000,34,18,3,4,3,33,11,20,38,20,35,20,1,2000,42,1,27,2000,28,17,2000,13,7,35,28,9,38,2000,12,17,14,22,19,57,15,14,29,1,18,16,35,43,30,2000,17,89,43,14,21,6,14,6,17,24,5,15,2000,26,49,9,12,25,20,2000,2000,40,51,15,24,2000,36,15,19,7,25
CDCA8,,False,92,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,71,2000,2000,2000,2000,2000,44,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17,2000,2000,2000,28,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,8,2000,2000,44,2000,2000,2000,2000,2000
SPC25,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,86,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,48,2000,2000,2000,2000,30,2000,2000,39,2000,2000,39,2000,2000,2000,2000,2000,23,2000,2000,2000,2000,2000,2000,2000,24,58,2000,2000,2000
