task,best_top100_stability_batch,best_top100_jaccard,full_top100_jaccard,full_top2000_mean,best_small_batch,best_small_mean,delta_best_small_vs_full_top2000,task_label,top100_jaccard_delta
er_status,1000,0.6573675612931116,0.203979211113432,0.9524026311453078,1000,0.9541094310578584,0.0017067999125506,ER status,0.4533883501796796
her2_status,small_batch_consensus,0.5470126511521619,0.1311967688868333,0.9227188941161726,100,0.9281526671138354,0.0054337729976627,HER2 status,0.4158158822653286
tnbc_status,small_batch_consensus,0.5845804341143003,0.1747384061383736,0.9526842975206612,1000,0.9537661157024792,0.0010818181818179,TNBC status,0.40984202797592667
tumor_normal,500,0.5799215874225399,0.17795900461201,0.99831232351672,1000,0.9986345506065036,0.0003222270897836,Tumour normal,0.4019625828105299
pam50_subtype,small_batch_consensus,0.5510603683901671,0.3574618393753776,0.8640835306314077,250,0.8636355382187435,-0.0004479924126642,PAM50 subtype,0.19359852901478952
pam50_subtype_no_pam50_genes,small_batch_consensus,0.5803091271203333,0.3656520482447482,0.8568312765180937,500,0.8608665516156956,0.0040352750976019,PAM50 without PAM50 genes,0.21465707887558516
ihc_subtype,1000,0.4745267514289287,0.2950369865377717,0.7646470170450573,250,0.763381771484286,-0.0012652455607713,IHC subtype,0.17948976489115698
