endpoint,batch_size,metabric_c_index
OS,250,0.5487678948429642
DSS,250,0.5642950440032262
PFI,250,0.5586292275112351
DFI,250,0.5742939714636422
OS,500,0.5576296968403074
DSS,500,0.5535607327545308
PFI,500,0.5597360601692878
DFI,500,0.5611591307296413
OS,1000,0.5498861372046684
DSS,1000,0.5616893947480786
PFI,1000,0.5592964346461472
DFI,1000,0.5701001633286507
