leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
1733,DUSP13,,False,202.72136068034015,7,6,0,87,0.07,0.06,0.0,0.87,1797.38,2000.0,228,2000,0.356111615896225,6.956398010253906,13,87
1734,VASN,,False,202.4912456228114,8,5,0,87,0.08,0.05,0.0,0.87,1797.61,2000.0,241,2000,0.3380976760387421,5.973319053649902,13,87
1735,RAB11FIP3,,False,202.48124062031016,8,5,0,87,0.08,0.05,0.0,0.87,1797.62,2000.0,215,2000,0.30291865646839145,5.918952941894531,13,87
1736,DNAI1,,False,202.44122061030518,6,7,0,87,0.06,0.07,0.0,0.87,1797.66,2000.0,139,2000,0.3959420043230057,8.509307861328125,13,87
1737,KLF11,,False,202.26113056528263,9,3,0,88,0.09,0.03,0.0,0.88,1797.84,2000.0,37,2000,0.8035901832580566,25.366836547851562,12,88
1738,SCNN1A,,False,202.12106053026517,10,2,0,88,0.1,0.02,0.0,0.88,1797.98,2000.0,69,2000,0.6668925213813782,13.747360229492188,12,88
1739,KIFC3,,False,201.7008504252126,6,7,0,87,0.06,0.07,0.0,0.87,1798.4,2000.0,116,2000,0.37111792802810667,11.435638427734375,13,87
1740,ULBP1,,False,201.49074537268632,6,7,0,87,0.06,0.07,0.0,0.87,1798.61,2000.0,166,2000,0.3471641629934311,8.73436450958252,13,87
1741,RIBC1,,False,201.4207103551776,7,6,0,87,0.07,0.06,0.0,0.87,1798.68,2000.0,158,2000,0.33477103888988496,6.325943946838379,13,87
1742,SMARCC2,,False,201.40070035017507,10,3,0,87,0.1,0.03,0.0,0.87,1798.7,2000.0,226,2000,0.307247930765152,4.872869968414307,13,87
1743,DUSP5,,False,201.39069534767378,6,7,0,87,0.06,0.07,0.0,0.87,1798.71,2000.0,49,2000,0.4527294409275055,20.44525146484375,13,87
1744,C21orf91,,False,201.36068034017006,7,6,0,87,0.07,0.06,0.0,0.87,1798.74,2000.0,186,2000,0.28752086192369464,6.4118194580078125,13,87
1745,UTP11L,,False,201.36068034017006,7,6,0,87,0.07,0.06,0.0,0.87,1798.74,2000.0,191,2000,0.35700594782829287,6.910723686218262,13,87
1746,WBP1,,False,201.2506253126563,6,7,0,87,0.06,0.07,0.0,0.87,1798.85,2000.0,302,2000,0.3077302324771881,4.214159965515137,13,87
1747,ATAD3A,,False,200.99049524762384,7,6,0,87,0.07,0.06,0.0,0.87,1799.11,2000.0,226,2000,0.31572654366493225,5.389756679534912,13,87
1748,PTTG1,pam50,True,200.21010505252627,8,5,0,87,0.08,0.05,0.0,0.87,1799.89,2000.0,92,2000,0.3719031098484993,12.178878784179688,13,87
